train_loss,val_loss,val_dice
0.8170328084379435,0.8387126326560974,0.12703104317188263
0.7612821217626333,0.8379148244857788,0.02964027877897024
0.7495847269892693,0.8503046035766602,0.0058312275796197355
0.7400778755545616,0.8371092230081558,0.004805444361409172
0.7454579826444387,0.8360504806041718,0.05841376446187496
0.7344434931874275,0.8518564999103546,0.0037691966572310776
0.7443909160792828,0.8471335023641586,0.012480550678446889
0.7467998135834932,0.8385104686021805,0.0057645588531158864
0.7364864405244589,0.8324573487043381,0.10741718672215939
0.7314378507435322,0.8242456018924713,0.14501161873340607
0.7102210186421871,0.8132177740335464,0.21536419913172722
0.7086473479866982,0.8177705258131027,0.2293296456336975
0.6919013410806656,0.7777662575244904,0.3426763713359833
0.6748044323176146,0.7615197598934174,0.3957667201757431
0.6671718247234821,0.7659998387098312,0.3730858340859413
0.6780019029974937,0.7503079026937485,0.40592489391565323
0.645016573369503,0.7551439702510834,0.41825900226831436
0.6418573819100857,0.7383730858564377,0.4239128604531288
0.6330318544059992,0.740442544221878,0.4262588620185852
0.6262850854545832,0.7295471131801605,0.42799048870801926
0.6280410140752792,0.7288145422935486,0.42979641258716583
0.6294641643762589,0.729212298989296,0.43419359624385834
0.6417803522199392,0.7308184057474136,0.43066229671239853
0.6290133036673069,0.7270926088094711,0.43225468695163727
0.6286488194018602,0.7254535555839539,0.43098900467157364
0.6231340318918228,0.7394570708274841,0.4301895424723625
0.6198792736977339,0.7655659019947052,0.3824765682220459
0.6119033414870501,0.7314833402633667,0.4343612641096115
0.6073049139231443,0.71901436150074,0.44150738418102264
0.6223655436187983,0.7208048850297928,0.4425104483962059
0.6060312353074551,0.7193038314580917,0.4448830112814903
0.6124711912125349,0.7152168154716492,0.4459177479147911
0.6083518657833338,0.7154011130332947,0.44269024580717087
0.6054882016032934,0.7214552015066147,0.43739932775497437
0.6091522052884102,0.7197897881269455,0.4353632926940918
0.5985276084393263,0.7179336696863174,0.4449462890625
0.5941544007509947,0.7041585296392441,0.4582354873418808
0.5963538279756904,0.7089297622442245,0.45485010743141174
0.5916767958551645,0.7118731439113617,0.45317525416612625
0.6029852125793695,0.7131018787622452,0.44884102791547775
0.5965183600783348,0.7085239887237549,0.45620014518499374
0.593543753027916,0.7196466624736786,0.44648411870002747
0.58330387622118,0.7110870182514191,0.4551146924495697
0.5929378625005484,0.6959738731384277,0.46700967103242874
0.5767132248729467,0.6962818503379822,0.46850861608982086
0.5789816807955503,0.6928800046443939,0.4694191887974739
0.5791694466024637,0.6962842345237732,0.4673816189169884
0.5807375870645046,0.6978507786989212,0.46788190305233
0.5753255318850279,0.6922322809696198,0.47095002233982086
0.5813015308231115,0.7023631185293198,0.46454429626464844
0.5722968047484756,0.7012727856636047,0.47028373926877975
0.5706460997462273,0.6974904239177704,0.47357287257909775
0.5720877591520548,0.6911163479089737,0.47598300874233246
0.5708314590156078,0.7050624340772629,0.466584287583828
0.5694413352757692,0.6923779100179672,0.4784606844186783
0.5637400271371007,0.6917518228292465,0.4748811349272728
0.5670766290277243,0.6990001350641251,0.4776276797056198
0.5629880707710981,0.6907508969306946,0.480337992310524
0.5688070058822632,0.7097707092761993,0.4634268060326576
0.5602093786001205,0.6956186443567276,0.47136930376291275
0.5598380621522665,0.6976224631071091,0.4760531187057495
0.5601375084370375,0.6930232346057892,0.4784211739897728
0.5568072777241468,0.6950007975101471,0.4731443375349045
0.5510929813608527,0.6840841621160507,0.48511629551649094
0.5653258860111237,0.6869414001703262,0.4789137840270996
0.5635256776586175,0.6764032244682312,0.4854564219713211
0.5559690464287996,0.6783721148967743,0.4892076551914215
0.5562307480722666,0.6740788370370865,0.4890047758817673
0.5582678280770779,0.6734777539968491,0.48885156214237213
0.5501743042841554,0.6926006525754929,0.48913390934467316
0.5598325626924634,0.6953803449869156,0.47273190319538116
0.5568187460303307,0.6803982108831406,0.49055182188749313
0.5475732618942857,0.6789111644029617,0.48700856417417526
0.5499173849821091,0.6705052703619003,0.49208057671785355
0.5503801945596933,0.674713060259819,0.4866092652082443
0.5471693407744169,0.6653511077165604,0.4958348572254181
0.5498056085780263,0.6778923720121384,0.49416396766901016
0.5492224637418985,0.6693830341100693,0.4925651252269745
0.543521917425096,0.6756024807691574,0.4926581457257271
0.5441237036138773,0.6606107801198959,0.5022739544510841
0.5358905093744397,0.6600954681634903,0.499264620244503
0.5359746245667338,0.6579056978225708,0.5043864399194717
0.5488813174888492,0.6577246636152267,0.5023026615381241
0.5325475307181478,0.6611204445362091,0.5024368017911911
0.539696104824543,0.6531243622303009,0.5110058337450027
0.5319132078438997,0.6551050841808319,0.5084690898656845
0.5284059187397361,0.6507008075714111,0.5110605955123901
0.5279716942459345,0.6444185376167297,0.5153409838676453
0.5270567154511809,0.661419004201889,0.513585776090622
0.5302199637517333,0.6642062664031982,0.5138194710016251
0.5196333145722747,0.6426689922809601,0.5185834765434265
0.5288397269323468,0.6611930578947067,0.5158267617225647
0.5105274897068739,0.647704228758812,0.5156798139214516
0.5287593929097056,0.6594499200582504,0.5109686404466629
0.5249000685289502,0.6493259966373444,0.5153199285268784
0.5222160341218114,0.6536324769258499,0.5193468779325485
0.5246986960992217,0.6527535021305084,0.5212195515632629
0.5062614548951387,0.6499190181493759,0.5234576612710953
0.5070834849029779,0.6382330656051636,0.5247180461883545
0.5077243493869901,0.6461749523878098,0.5214590281248093
