learning_rate,pos_weight,optimizer,batch_size,val_loss,val_dice
0.0005,7.0,adamw,8,0.8807617723941803,0.49501653760671616
0.0005,3.0,adamw,8,0.6697219163179398,0.4932803586125374
0.0001,7.0,adamw,8,0.8891931772232056,0.48773887753486633
0.0001,4.65,adamw,8,0.803560420870781,0.4762605205178261
0.0001,3.0,adamw,8,0.6835757941007614,0.47441940009593964
0.001,4.65,adamw,8,0.8059556633234024,0.47134119272232056
0.0005,3.0,adamw,16,0.6956681907176971,0.45784851908683777
0.001,3.0,adamw,16,0.7254031896591187,0.4387315809726715
0.001,3.0,adamw,8,0.7241685390472412,0.43567828088998795
0.001,7.0,adamw,8,0.9593360424041748,0.4353485628962517
0.0005,4.65,adamw,8,0.831545427441597,0.4269856661558151
0.0001,3.0,adamw,16,0.7543371319770813,0.42304718494415283
0.0001,4.65,adamw,16,0.8332982957363129,0.4228115677833557
0.001,7.0,adamw,16,0.9399360418319702,0.4144424498081207
0.0005,7.0,adamw,16,0.9746450483798981,0.411836713552475
0.001,4.65,adamw,16,0.8496943712234497,0.40847648680210114
0.0001,7.0,adamw,16,0.9317876696586609,0.40562430024147034
0.0005,4.65,adamw,16,0.8819527328014374,0.3773868978023529
0.001,3.0,sgd,16,0.8418740630149841,0.3107602447271347
0.001,3.0,sgd,8,0.8421618044376373,0.30968761444091797
0.0005,7.0,sgd,8,1.0912434756755829,0.3070824667811394
0.0005,4.65,sgd,8,0.9447763860225677,0.3070244714617729
0.0001,4.65,sgd,8,0.9436286687850952,0.3068317621946335
0.0001,7.0,sgd,8,1.0851879119873047,0.3068317621946335
0.001,4.65,sgd,8,0.944477304816246,0.3068317621946335
0.001,7.0,sgd,8,1.087196260690689,0.3068317621946335
0.0001,3.0,sgd,16,0.8456574380397797,0.3068317472934723
0.0001,4.65,sgd,16,0.9438804090023041,0.3068317472934723
0.0001,7.0,sgd,16,1.0902773141860962,0.3068317472934723
0.0005,4.65,sgd,16,0.9437505006790161,0.3068317472934723
0.0005,7.0,sgd,16,1.0800248384475708,0.3068317472934723
0.001,4.65,sgd,16,0.9445747137069702,0.3068317472934723
0.001,7.0,sgd,16,1.0785097479820251,0.3068317472934723
0.0005,3.0,sgd,8,0.8404642045497894,0.19037027284502983
0.0005,3.0,sgd,16,0.8369052708148956,3.596195008448433e-10
0.0001,3.0,sgd,8,0.8395837992429733,3.596194869670555e-10
